id,quote,author,quote type,date of Birth,location of Birth
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change,deep-thoughts,thinking,world","March 14, 1879","in Ulm, Germany"
2,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities,choices","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
3,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational,life,live,miracle,miracles","March 14, 1879","in Ulm, Germany"
4,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy,books,classic,humor","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
5,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself,inspirational","June 01, 1926",in The United States
6,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood,success,value","March 14, 1879","in Ulm, Germany"
7,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life,love","November 22, 1869","in Paris, France"
8,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison,failure,inspirational,paraphrased","February 11, 1847","in Milan, Ohio, The United States"
9,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,"October 11, 1884",in The United States
10,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor,obvious,simile","August 14, 1945","in Waco, Texas, The United States"
11,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,"courage,friends","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
12,"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"simplicity,understand","March 14, 1879","in Ulm, Germany"
13,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,fantasy,"March 02, 1904","in Springfield, MA, The United States"
14,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,"life,navigation","March 11, 1952","in Cambridge, England, The United Kingdom"
15,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","September 30, 1928","in Sighet, Romania"
16,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","October 15, 1844","in Röcken bei Lützen, Prussian Province of Saxony, Germany"
17,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"books,contentment,friends,friendship,life","November 30, 1835","in Florida, Missouri, The United States"
18,“Life is what happens to us while we are making other plans.”,Allen Saunders,"fate,life,misattributed-john-lennon,planning,plans","April 24, 1899",in The United States
19,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"love,poetry","July 12, 1904","in Parral, Chile"
20,“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,happiness,"May 25, 1803","in Boston, Massachusetts, The United States"
21,"“If you judge people, you have no time to love them.”",Mother Teresa,attributed-no-source,"August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of"
22,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"humor,religion","August 07, 1942","in Anoka, Minnesota, The United States"
23,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,humor,"September 24, 1936","in Greenville, Mississippi, The United States"
24,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,"comedy,life,yourself","March 02, 1904","in Springfield, MA, The United States"
25,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"children,fairy-tales","March 14, 1879","in Ulm, Germany"
26,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
27,“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,imagination,"March 14, 1879","in Ulm, Germany"
28,"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,music,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
29,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"learning,reading,seuss","March 02, 1904","in Springfield, MA, The United States"
30,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,dumbledore,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
31,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,friendship,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
32,“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"misattributed-to-mother-teresa,paraphrased","August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of"
33,"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"death,inspirational","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
34,“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"chocolate,food,humor","November 26, 1922","in Minneapolis, MN, The United States"
35,“We read to know we're not alone.”,William Nicholson,"misattributed-to-c-s-lewis,reading","January 12, 1948","in Lewes, Sussex, The United Kingdom"
36,“Any fool can know. The point is to understand.”,Albert Einstein,"knowledge,learning,understanding,wisdom","March 14, 1879","in Ulm, Germany"
37,“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"books,library","August 24, 1899","in Buenos Aires, Argentina"
38,“It is never too late to be what you might have been.”,George Eliot,inspirational,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
39,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"read,readers,reading,reading-books","September 20, 1948","in Bayonne, New Jersey, The United States"
40,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"books,inspirational,reading,tea","November 29, 1898","in Belfast, Ireland"
41,“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,,"June 01, 1926",in The United States
42,"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"girls,love","June 01, 1926",in The United States
43,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"life,simile","March 14, 1879","in Ulm, Germany"
44,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,love,"June 01, 1926",in The United States
45,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,attributed-no-source,"June 01, 1926",in The United States
46,“Only in the darkness can you see the stars.”,Martin Luther King Jr.,"hope,inspirational","January 15, 1929","in Atlanta, Georgia, The United States"
47,"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,dumbledore,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
48,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,love,"August 02, 1924","in Harlem, New York, The United States"
49,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,"friendship,love","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
50,“Do one thing every day that scares you.”,Eleanor Roosevelt,"attributed,fear,inspiration","October 11, 1884",in The United States
51,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,attributed-no-source,"June 01, 1926",in The United States
52,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,music,"March 14, 1879","in Ulm, Germany"
53,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"books,thought","January 12, 1949","in Kyoto, Japan"
54,“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,misattributed-to-einstein,"July 27, 1824","in Paris, France"
55,"“He's like a drug for you, Bella.”",Stephenie Meyer,"drug,romance,simile","December 24, 1973","in Connecticut, The United States"
56,“There is no friend as loyal as a book.”,Ernest Hemingway,"books,friends,novelist-quotes","July 21, 1899","in Oak Park, Illinois, The United States"
57,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,inspirational,"June 27, 1880","in Tuscumbia, Alabama, The United States"
58,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"inspirational,life,yourself","July 26, 1856","in Dublin, Ireland"
59,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,alcohol,"August 16, 1920","in Andernach, Germany"
60,“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,the-hunger-games,"August 11, 1962","in Hartford, Connecticut, The United States"
61,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,humor,"August 11, 1962","in Hartford, Connecticut, The United States"
62,“Not all those who wander are lost.”,J.R.R. Tolkien,"bilbo,journey,lost,quest,travel,wander","January 03, 1892","in Bloemfontein, Mangaung, Free State, South Africa"
63,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,live-death-love,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
64,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,"good,writing","July 21, 1899","in Oak Park, Illinois, The United States"
65,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,"life,regrets","May 25, 1803","in Boston, Massachusetts, The United States"
66,“I have never let my schooling interfere with my education.”,Mark Twain,education,"November 30, 1835","in Florida, Missouri, The United States"
67,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,troubles,"March 02, 1904","in Springfield, MA, The United States"
68,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"friendship,love","August 06, 1809","in Somersby, Lincolnshire, The United Kingdom"
69,“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor,"August 16, 1920","in Andernach, Germany"
70,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"humor,open-mind,thinking","April 28, 1948","in Beaconsfield, Buckinghamshire, England, The United Kingdom"
71,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"humor,philosophy","March 02, 1904","in Springfield, MA, The United States"
72,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"authors,books,literature,reading,writing","January 01, 1919","in Manhattan, New York, The United States"
73,“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"humor,insanity,lies,lying,self-indulgence,truth","May 12, 1937","in New York, New York, The United States"
74,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","October 09, 1940","in Liverpool, England, The United Kingdom"
75,“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"humor,sinister","January 29, 1880","in Darby, Pennsylvania, The United States"
76,“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,,"February 02, 1905","in St. Petersburg, Russian Federation"
77,“′Classic′ - a book which people praise and don't read.”,Mark Twain,"books,classic,reading","November 30, 1835","in Florida, Missouri, The United States"
78,“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,mistakes,"March 14, 1879","in Ulm, Germany"
79,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,"humor,love,romantic,women","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
80,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling,integrity,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
81,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"books,library,reading","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
82,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen,"elizabeth-bennet,jane-austen","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
83,“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,"age,fairytales,growing-up","November 29, 1898","in Belfast, Ireland"
84,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,god,"November 29, 1898","in Belfast, Ireland"
85,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,"death,life","November 30, 1835","in Florida, Missouri, The United States"
86,“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,"misattributed-mark-twain,truth","November 30, 1835","in Florida, Missouri, The United States"
87,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,"christianity,faith,religion,sun","November 29, 1898","in Belfast, Ireland"
88,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,truth,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
89,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life","November 27, 1942","in Seattle, Washington, The United States"
90,“To die will be an awfully big adventure.”,J.M. Barrie,"adventure,love","May 09, 1860","in Kirriemuir, Angus, Scotland, The United Kingdom"
91,“It takes courage to grow up and become who you really are.”,E.E. Cummings,courage,"October 14, 1894","in Cambridge, Massachusetts, The United States"
92,“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life,"March 04, 1965","in Kabul, Afghanistan"
93,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,better-life-empathy,"April 28, 1926","in Monroeville, Alabama, The United States"
94,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"books,children,difficult,grown-ups,write,writers,writing","November 29, 1918","in New York City, New York, The United States"
95,“Never tell the truth to people who are not worthy of it.”,Mark Twain,truth,"November 30, 1835","in Florida, Missouri, The United States"
96,"“A person's a person, no matter how small.”",Dr. Seuss,inspirational,"March 02, 1904","in Springfield, MA, The United States"
97,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"books,mind","September 20, 1948","in Bayonne, New Jersey, The United States"
